numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
2104447715,Mise en œuvre du Plan national d’action en faveur des espèces végétales rares et menacées des ripisylves de Martinique.,CONSERVATOIRE BOTANIQUE MARTINIQUE, 42 740.00,17039174,DREAL
2104447732,Gestion et valorisation de Bambusa vulgaris aux abords des berges sur les cours d’eau de la Martinique,ASSOCIATION FRANCAISE D, 390 339.64,16673276,DREAL
2104447733,Gestion de la fréquentation et ingénierie écologique au sein des Réserves Naturelles de Martinique,ASYMIX PARC NATUREL REGIONAL MARTIN, 105 000.00,17064551,DREAL
2104447909,Travaux de réparation du siphon sous la Charente,SYNDM UNION DES MARAIS CHARENTE-MAR, 373 236.00,16468829,DREAL
2104447929,"Acquisition de 45 hectares de zones humides - vallée de la Loire - îles Kerguelen, Boire Rousse et Bernardeau",CONSERVATOIRE D'ESPACES NATURELS, 555 000.00,17560924,DREAL
2104448058,"Accompagnement de la stratégie nationale biodiversité 2030, de la stratégie nationale pour les aires protégées 2030 et de son Plan d’action territorial Hauts-de-France",CONSERVATOIRE D ESPACES NATURELS, ##########,14535679,DREAL
2104448058,"Accompagnement de la stratégie nationale biodiversité 2030, de la stratégie nationale pour les aires protégées 2030 et de son Plan d’action territorial Hauts-de-France",CONSERVATOIRE D ESPACES NATURELS, 116 045.00,14535679,DREAL
2104448058,"Accompagnement de la stratégie nationale biodiversité 2030, de la stratégie nationale pour les aires protégées 2030 et de son Plan d’action territorial Hauts-de-France",CONSERVATOIRE D ESPACES NATURELS, 208 193.00,14535679,DREAL
2104448314,Renforcement de la population vosgienne de Grand-Tétras,ASYMIX PARC BALLONS DES VOSGES, 397 000.00,16383033,DREAL
2104448341,"Acquisition de zones humides dans les Marais de l'Acheneau (Rouans, Vue - Loire-Atlantique) (dossiers d'acquisition : Raymond, Leroux, Bailhache)",CONSERVATOIRE D'ESPACES NATURELS, 105 000.00,18202889,DREAL
2104448342,"Acquisition de zones humides dans le Marais des Faillies Brières et les sources du Mès (acquisitions Beaulande, Morand, Loumeau)",CONSERVATOIRE D'ESPACES NATURELS, 50 000.00,18204176,DREAL
2104450924,"Mise en oeuvre d’actions du Plan National d’Actions en faveur de la Loutre en Charente, Charente-Maritime, Deux-Sèvres et Vienne",POITOU-CHARENTES NATURE, 91 650.00,16945035,DREAL
2104451036,Mise en place d’un protocole de suivi des algues indicatrices du changement climatique (« warm-species ») sur le plateau rocheux de Cordouan,ASYMIX SMIDDEST, 18 400.00,14191974,DREAL
